participant_id	bss_1	bss_2	bss_3	bss_4	bss_5	bss_6	bss_7	bss_8	bss_complete
sub-88608	5	5	5	4	5	5	5	5	2
sub-88760	1	3	1	3	2	1	2	4	2
sub-88770	4	4	3	4	4	4	4	4	2
sub-88773	4	2	4	4	5	4	4	1	2
sub-89279	2	2	2	3	1	2	2	3	2
sub-89377	2	4	4	2	2	3	2	4	2
sub-90021	5	5	1	1	5	1	4	4	2
sub-90060	5	4	5	3	5	4	3	4	2
sub-90077	5	2	1	2	1	2	2	1	2
sub-90262	3	1	2	2	2	1	4	5	2
sub-90281	2	4	4	2	2	3	3	4	2
sub-90683	5	2	4	4	5	3	5	5	2
sub-91717	4	4	5	3	1	2	4	5	2
sub-91919	2	5	5	5	3	4	5	1	2
sub-91962	5	1	3	1	5	1	5	4	2
sub-92089	5	3	4	5	3	5	3	1	2
sub-92182	2	4	4	1	2	2	4	1	2
sub-92193	5	5	1	2	2	2	3	4	2
sub-92211	3	2	4	2	1	2	3	4	2
sub-92554	5	1	4	3	2	2	4	4	2
sub-92927	5	4	2	2	5	2	2	2	2
sub-93051	4	4	3	2	2	3	3	4	2
sub-93169	4	4	2	3	4	3	4	4	2
sub-93274	4	3	1	5	5	2	5	5	2
sub-93278	5	5	4	3	4	4	3	4	2
sub-93292	4	2	2	2	4	3	4	4	2
sub-93406	4	4	4	3	3	4	4	2	2
sub-93517	5	5	5	5	3	3	3	1	2
sub-93549	3	5	2	3	5	1	3	3	2
sub-93723	5	5	2	2	2	2	3	4	2
sub-93734	3	4	2	4	1	1	2	2	2
sub-93787	4	4	3	3	4	3	3	3	2
sub-93856	4	2	3	3	4	4	3	4	2
sub-94276	4	4	4	3	1	3	3	1	2
sub-94492	4	3	1	3	5	2	3	3	2
sub-94848	1	1	1	1	1	1	1	1	2
sub-95015	4	4	5	3	3	2	3	5	2
sub-95057	5	5	2	4	4	4	3	1	2
sub-95116	4	4	3	3	2	3	4	5	2
sub-95257	5	5	4	3	5	4	4	5	2
sub-95460	5	3	2	2	4	4	3	4	2
sub-96659	3	4	1	2	2	1	2	2	2
sub-97092	3	2	1	2	4	4	3	4	2
sub-97271	4	2	3	4	4	2	4	4	2
